12:57:18.153 >> td
12:57:18.203 trigger debug on
12:57:18.506 >> v
12:57:18.818 a=2236754,b=2236886
12:57:18.818 a=2242003,b=2236886
12:57:18.818 a=2244454,b=2242003
12:57:18.818 a=2243134,b=2243134
12:57:18.818 a=2247423,b=2244454
12:57:18.818 a=2244973,b=2244973
12:57:18.818 a=2238195,b=2244973
12:57:18.818 a=2236143,b=2238195
12:57:18.818 a=2238567,b=2238195
12:57:18.818 a=2242187,b=2238567
12:57:18.818 a=2245841,b=2242187
12:57:18.818 a=2246904,b=2245841
12:57:18.818 a=2248644,b=2246904
12:57:18.818 a=2242697,b=2246904
12:57:18.818 a=2241651,b=2242697
12:57:18.818 a=2243091,b=2242697
12:57:18.818 a=2240895,b=2241651
12:57:18.818 a=2241608,b=2241608
12:57:18.818 a=2241983,b=2241608
12:57:18.818 a=2242200,b=2241983
12:57:18.818 a=2243010,b=2242200
12:57:18.818 a=2241779,b=2242200
12:57:18.818 a=2238627,b=2241779
12:57:18.818 a=2238480,b=2238627
12:57:18.818 a=2241375,b=2238627
12:57:18.818 a=2242354,b=2241375
12:57:18.818 a=2242771,b=2242354
12:57:18.818 a=2240346,b=2242354
12:57:18.818 a=2239278,b=2240346
12:57:18.818 a=2241176,b=2240346
12:57:18.818 a=2241844,b=2241176
12:57:18.818 a=2239161,b=2241176
12:57:18.818 a=2239927,b=2239927
12:57:18.818 a=2245140,b=2239927
12:57:18.818 a=2241614,b=2241614
12:57:18.818 a=2237535,b=2241614
12:57:18.818 a=2241216,b=2241216
12:57:18.818 a=2243212,b=2241216
12:57:18.819 a=2239411,b=2241216
12:57:18.819 a=2235892,b=2239411
12:57:18.819 a=2234554,b=2235892
12:57:18.819 a=2237840,b=2235892
12:57:18.819 a=2239016,b=2237840
12:57:18.819 a=2243554,b=2239016
12:57:18.819 a=2246710,b=2243554
12:57:18.819 a=2246714,b=2246710
12:57:18.819 a=2243122,b=2246710
12:57:18.819 a=2240538,b=2243122
12:57:18.819 a=2239006,b=2240538
12:57:18.819 a=2239855,b=2239855
12:57:18.819 a=2244648,b=2239855
12:57:18.819 a=2248165,b=2244648
12:57:18.819 a=2245349,b=2245349
12:57:18.819 a=2242552,b=2245349
12:57:18.819 a=2238710,b=2242552
12:57:18.819 a=2239737,b=2239737
12:57:18.819 a=2244876,b=2239737
12:57:18.819 a=2247017,b=2244876
12:57:18.819 a=2241775,b=2244876
12:57:18.819 a=2240560,b=2241775
12:57:18.819 a=2242596,b=2241775
12:57:18.819 a=2244413,b=2242596
12:57:18.819 a=2245026,b=2244413
12:57:18.819 a=2238590,b=2244413
12:57:18.819 a=2236795,b=2238590
12:57:18.819 a=2236907,b=2236907
12:57:18.819 a=2240777,b=2236907
12:57:18.869 a=2240589,b=2240589
12:57:18.870 a=2239169,b=2240589
12:57:18.870 a=2242469,b=2240589
