12:26:09.037 >> td
12:26:09.091 trigger debug on
12:26:09.447 >> v
12:26:09.772 a=2238762,b=2238667
12:26:09.772 a=2237168,b=2238421
12:26:09.772 a=2235346,b=2237168
12:26:09.772 a=2236430,b=2236430
12:26:09.772 a=2239473,b=2236430
12:26:09.772 a=2241052,b=2239473
12:26:09.772 a=2243757,b=2241052
12:26:09.772 a=2241939,b=2241939
12:26:09.772 a=2240552,b=2241939
12:26:09.772 a=2240636,b=2240636
12:26:09.772 a=2242074,b=2240636
12:26:09.772 a=2245216,b=2242074
12:26:09.772 a=2245789,b=2245216
12:26:09.772 a=2243948,b=2245216
12:26:09.772 a=2242160,b=2243948
12:26:09.772 a=2243947,b=2243947
12:26:09.772 a=2241453,b=2242160
12:26:09.772 a=2244468,b=2243947
12:26:09.772 a=2244527,b=2244468
12:26:09.772 a=2242109,b=2244468
12:26:09.772 a=2245880,b=2244527
12:26:09.772 a=2243541,b=2243541
12:26:09.772 a=2239581,b=2243541
12:26:09.772 a=2237920,b=2239581
12:26:09.772 a=2237376,b=2237920
12:26:09.772 a=2240846,b=2237920
12:26:09.772 a=2238330,b=2238330
12:26:09.823 a=2241591,b=2240846
12:26:09.823 a=2243653,b=2241591
12:26:09.823 a=2242506,b=2242506
12:26:09.823 a=2244033,b=2243653
12:26:09.823 a=2243143,b=2243143
12:26:09.823 a=2240509,b=2243143
12:26:09.823 a=2242777,b=2242777
12:26:09.823 a=2242359,b=2242359
12:26:09.823 a=2238036,b=2242359
12:26:09.823 a=2238104,b=2238104
12:26:09.823 a=2240196,b=2238104
12:26:09.823 a=2237289,b=2238104
12:26:09.823 a=2241027,b=2240196
12:26:09.823 a=2242861,b=2241027
12:26:09.823 a=2242366,b=2242366
12:26:09.823 a=2244409,b=2242861
12:26:09.823 a=2245557,b=2244409
12:26:09.823 a=2241362,b=2244409
12:26:09.823 a=2235800,b=2241362
12:26:09.823 a=2237527,b=2237527
12:26:09.823 a=2240730,b=2237527
12:26:09.823 a=2243763,b=2240730
12:26:09.823 a=2240031,b=2240730
12:26:09.823 a=2238936,b=2240031
12:26:09.823 a=2240373,b=2240031
12:26:09.823 a=2238006,b=2238936
12:26:09.823 a=2237486,b=2238006
12:26:09.823 a=2240347,b=2238006
12:26:09.823 a=2238824,b=2238824
12:26:09.823 a=2239205,b=2239205
12:26:09.823 a=2240218,b=2239205
12:26:09.823 a=2242600,b=2240218
12:26:09.823 a=2243099,b=2242600
12:26:09.823 a=2244503,b=2243099
12:26:09.824 a=2244675,b=2244503
12:26:09.824 a=2242483,b=2244503
12:26:09.824 a=2241115,b=2242483
12:26:09.824 a=2242451,b=2242451
12:26:09.824 a=2240704,b=2241115
12:26:09.824 a=2240316,b=2240704
12:26:09.824 a=2239947,b=2240316
12:26:09.824 a=2241952,b=2240316
12:26:09.824 a=2242470,b=2241952
12:26:09.824 a=2240684,b=2241952
12:26:09.824 a=2240031,b=2240684
12:26:09.824 a=2241013,b=2240684
12:26:09.824 a=2239178,b=2240031
12:26:09.824 a=2236551,b=2239178
12:26:09.824 a=2239150,b=2239150
12:26:09.824 a=2238365,b=2238365
12:26:09.824 a=2239271,b=2239150
12:26:09.824 a=2240933,b=2239271
12:26:09.824 a=2238641,b=2239271
12:26:09.824 a=2241376,b=2240933
12:26:09.824 a=2246180,b=2241376
12:26:09.824 a=2244515,b=2244515
12:26:09.824 a=2243658,b=2244515
12:26:09.824 a=2240279,b=2243658
12:26:09.824 a=2236712,b=2240279
12:26:09.824 a=2235909,b=2236712
12:26:09.824 a=2237238,b=2236712
12:26:09.824 a=2239663,b=2237238
12:26:09.824 a=2242090,b=2239663
12:26:09.824 a=2239893,b=2239893
12:26:09.824 a=2242207,b=2242090
12:26:09.824 a=2243501,b=2242207
12:26:09.824 a=2242815,b=2242815
12:26:09.824 a=2244253,b=2243501
12:26:09.874 a=2245228,b=2244253
12:26:09.875 a=2242223,b=2244253
12:26:09.875 a=2238898,b=2242223
12:26:09.875 a=2238694,b=2238898
12:26:09.875 a=2239437,b=2238898
12:26:09.875 a=2238816,b=2238816
12:26:09.875 a=2241584,b=2239437
12:26:09.875 a=2242119,b=2241584
12:26:09.875 a=2242070,b=2242070
12:26:09.875 a=2241320,b=2242070
12:26:09.875 a=2241760,b=2241760
12:26:09.875 a=2242413,b=2241760
12:26:09.875 a=2242855,b=2242413
12:26:09.875 a=2240206,b=2242413
12:26:09.875 a=2236202,b=2240206
12:26:09.875 a=2240289,b=2240206
12:26:09.875 a=2242042,b=2240289
12:26:09.875 a=2238650,b=2240289
12:26:09.875 a=2238511,b=2238650
12:26:09.875 a=2241666,b=2238650
12:26:09.875 a=2242449,b=2241666
12:26:09.875 a=2242038,b=2242038
12:26:09.875 a=2241440,b=2242038
12:26:09.875 a=2243313,b=2242038
12:26:09.875 a=2241509,b=2241509
12:26:09.875 a=2238499,b=2241509
12:26:09.875 a=2236622,b=2238499
12:26:09.875 a=2239298,b=2238499
12:26:09.875 a=2240130,b=2239298
12:26:09.875 a=2238587,b=2239298
12:26:09.875 a=2240926,b=2240130
12:26:09.875 a=2244758,b=2240926
12:26:09.875 a=2242435,b=2242435
12:26:09.875 a=2240606,b=2242435
12:26:09.875 a=2241164,b=2241164
12:26:09.876 a=2242309,b=2241164
12:26:09.876 a=2239204,b=2241164
12:26:09.876 a=2237327,b=2239204
12:26:09.876 a=2238515,b=2238515
12:26:09.876 a=2240207,b=2238515
12:26:09.876 a=2240668,b=2240207
12:26:09.876 a=2241844,b=2240668
12:26:09.876 a=2241512,b=2241512
