12:42:02.723 >> td
12:42:02.773 trigger debug on
12:42:03.076 >> v
12:42:03.355 a=2243224,b=2240497
12:42:03.355 a=2246075,b=2243224
12:42:03.405 a=2244446,b=2244446
12:42:03.405 a=2239931,b=2244446
12:42:03.405 a=2241509,b=2241509
12:42:03.405 a=2240814,b=2240814
12:42:03.405 a=2239731,b=2240814
12:42:03.405 a=2240907,b=2240814
12:42:03.405 a=2241976,b=2240907
12:42:03.405 a=2238505,b=2240907
12:42:03.405 a=2235502,b=2238505
12:42:03.405 a=2233535,b=2235502
12:42:03.405 a=2239797,b=2235502
12:42:03.406 a=2243374,b=2239797
12:42:03.406 a=2242254,b=2242254
12:42:03.406 a=2238386,b=2242254
12:42:03.406 a=2238617,b=2238617
12:42:03.406 a=2237581,b=2238386
12:42:03.406 a=2239196,b=2238617
12:42:03.406 a=2237722,b=2237722
12:42:03.406 a=2236341,b=2237722
12:42:03.406 a=2239692,b=2237722
12:42:03.406 a=2238511,b=2238511
12:42:03.406 a=2238191,b=2238511
12:42:03.406 a=2236867,b=2238191
12:42:03.406 a=2237842,b=2237842
12:42:03.406 a=2240691,b=2237842
12:42:03.406 a=2232205,b=2237842
12:42:03.406 a=2232698,b=2232698
12:42:03.406 a=2239132,b=2232698
12:42:03.406 a=2238853,b=2238853
12:42:03.406 a=2239037,b=2239037
12:42:03.406 a=2239641,b=2239037
12:42:03.406 a=2241626,b=2239641
12:42:03.406 a=2242830,b=2241626
12:42:03.406 a=2240903,b=2241626
12:42:03.406 a=2233099,b=2240903
12:42:03.406 a=2233992,b=2233992
12:42:03.406 a=2239030,b=2233992
12:42:03.406 a=2238291,b=2238291
12:42:03.406 a=2240714,b=2239030
12:42:03.406 a=2242981,b=2240714
12:42:03.406 a=2240815,b=2240815
12:42:03.406 a=2242016,b=2242016
12:42:03.406 a=2238424,b=2240815
12:42:03.406 a=2240073,b=2240073
12:42:03.406 a=2241767,b=2240073
12:42:03.406 a=2238047,b=2240073
12:42:03.406 a=2240236,b=2240236
12:42:03.406 a=2241229,b=2240236
12:42:03.406 a=2241060,b=2241060
12:42:03.406 a=2241191,b=2241191
12:42:03.406 a=2239984,b=2241060
12:42:03.407 a=2240450,b=2240450
12:42:03.407 a=2237835,b=2239984
12:42:03.407 a=2240632,b=2240450
12:42:03.407 a=2241122,b=2240632
12:42:03.407 a=2240117,b=2240632
12:42:03.407 a=2234926,b=2240117
12:42:03.407 a=2236461,b=2236461
12:42:03.407 a=2241977,b=2236461
12:42:03.407 a=2240218,b=2240218
12:42:03.407 a=2238189,b=2240218
12:42:03.407 a=2236754,b=2238189
12:42:03.407 a=2235668,b=2236754
12:42:03.407 a=2237685,b=2236754
12:42:03.407 a=2238119,b=2237685
12:42:03.407 a=2232574,b=2237685
12:42:03.407 a=2234259,b=2234259
12:42:03.407 a=2232975,b=2232975
12:42:03.407 a=2233396,b=2233396
12:42:03.407 a=2235964,b=2233396
12:42:03.407 a=2234984,b=2234984
12:42:03.407 a=2235022,b=2235022
12:42:03.407 a=2239444,b=2235022
12:42:03.407 a=2241411,b=2239444
12:42:03.407 a=2238498,b=2239444
12:42:03.407 a=2237241,b=2238498
12:42:03.407 a=2237910,b=2237910
12:42:03.407 a=2238453,b=2237910
12:42:03.407 a=2238258,b=2238258
12:42:03.407 a=2239195,b=2238453
12:42:03.407 a=2241739,b=2239195
12:42:03.407 a=2243102,b=2241739
12:42:03.407 a=2244096,b=2243102
12:42:03.407 a=2240282,b=2243102
12:42:03.407 a=2240916,b=2240916
12:42:03.407 a=2236537,b=2240282
12:42:03.407 a=2233751,b=2236537
12:42:03.407 a=2236862,b=2236537
12:42:03.407 a=2240944,b=2236862
12:42:03.407 a=2236571,b=2236862
12:42:03.407 a=2236652,b=2236652
12:42:03.407 a=2239363,b=2236652
12:42:03.408 a=2235919,b=2236652
12:42:03.458 a=2239065,b=2239065
12:42:03.458 a=2241999,b=2239065
12:42:03.458 a=2241501,b=2241501
12:42:03.458 a=2240152,b=2241501
12:42:03.458 a=2241938,b=2241501
12:42:03.458 a=2241665,b=2241665
12:42:03.458 a=2238736,b=2241665
12:42:03.458 a=2236789,b=2238736
12:42:03.458 a=2238299,b=2238299
12:42:03.458 a=2241738,b=2238299
12:42:03.458 a=2243215,b=2241738
12:42:03.458 a=2240046,b=2241738
12:42:03.458 a=2242617,b=2242617
12:42:03.458 a=2241050,b=2241050
12:42:03.458 a=2238298,b=2241050
12:42:03.458 a=2239909,b=2239909
12:42:03.458 a=2240628,b=2239909
12:42:03.458 a=2236742,b=2239909
12:42:03.458 a=2235583,b=2236742
12:42:03.458 a=2238706,b=2236742
12:42:03.458 a=2241186,b=2238706
12:42:03.458 a=2241210,b=2241186
12:42:03.458 a=2237296,b=2241186
12:42:03.458 a=2233156,b=2237296
12:42:03.458 a=2236011,b=2236011
12:42:03.458 a=2237064,b=2236011
12:42:03.458 a=2233274,b=2236011
12:42:03.458 a=2234170,b=2234170
12:42:03.458 a=2239282,b=2234170
12:42:03.458 a=2240277,b=2239282
12:42:03.459 a=2242681,b=2240277
12:42:03.459 a=2240028,b=2240277
12:42:03.459 a=2238898,b=2240028
12:42:03.459 a=2240056,b=2240028
12:42:03.459 a=2236234,b=2238898
12:42:03.459 a=2236830,b=2236830
12:42:03.459 a=2236115,b=2236234
12:42:03.459 a=2237156,b=2236830
12:42:03.459 a=2236017,b=2236115
12:42:03.459 a=2233616,b=2236017
12:42:03.459 a=2237198,b=2236017
12:42:03.459 a=2242129,b=2237198
12:42:03.459 a=2244145,b=2242129
12:42:03.459 a=2243315,b=2243315
12:42:03.459 a=2241179,b=2243315
12:42:03.459 a=2243224,b=2243224
12:42:03.459 a=2240628,b=2241179
12:42:03.459 a=2237503,b=2240628
12:42:03.459 a=2237172,b=2237503
12:42:03.459 a=2237472,b=2237472
12:42:03.459 a=2236510,b=2237172
12:42:03.459 a=2236919,b=2236919
12:42:03.459 a=2238572,b=2236919
12:42:03.459 a=2242154,b=2238572
12:42:03.459 a=2241359,b=2241359
12:42:03.459 a=2237820,b=2241359
12:42:03.459 a=2238704,b=2238704
12:42:03.459 a=2239807,b=2238704
12:42:03.459 a=2237797,b=2238704
12:42:03.459 a=2237778,b=2237797
12:42:03.459 a=2234287,b=2237778
