time,slab_S5,mat_S2,setpoint,pwm,state
21:57:06,105.56,135.76,105.0,4.618e-13,active
21:57:21,105.45,134.50,105.0,2.001e-4,active
21:57:37,105.40,133.44,105.0,0.00148,active
21:57:53,105.24,132.51,105.0,0.00283,active
21:58:09,105.13,131.76,105.0,0.00394,active
21:58:25,105.05,131.13,105.0,0.0173,active
21:58:41,104.89,130.67,105.0,0.0460,active
21:58:57,104.81,131.16,105.0,0.122,active
21:59:13,104.58,132.70,105.0,0.261,active
21:59:29,104.60,135.49,105.0,0.377,active
21:59:45,104.47,139.11,105.0,0.578,active
22:00:01,104.58,143.42,105.0,0.598,active
22:00:17,104.55,147.99,105.0,0.715,active
22:00:33,104.55,152.49,105.0,0.791,active
22:00:49,104.66,156.89,105.0,0.845,active
22:01:05,104.68,161.04,105.0,0.907,active
22:01:21,104.84,164.87,105.0,0.929,active
22:01:37,105.03,164.01,105.0,0.715,active
22:01:53,105.24,164.89,105.0,0.263,active
22:02:09,105.29,164.58,105.0,0.729,active
22:02:25,105.42,164.02,105.0,0.495,active
22:02:41,105.56,163.20,105.0,0.435,active
22:02:57,105.56,161.11,105.0,0.237,active
22:03:13,105.74,157.27,105.0,0.0455,active
22:03:29,105.74,152.06,105.0,0.00197,active
22:03:45,105.77,147.33,105.0,7.396e-5,active
22:04:01,105.63,143.45,105.0,2.775e-6,active
22:04:17,105.58,140.22,105.0,1.041e-7,active
22:04:33,105.48,137.63,105.0,3.908e-9,active
22:04:49,105.45,135.48,105.0,8.924e-4,active
22:05:05,105.29,133.71,105.0,8.789e-4,active
22:05:21,105.13,132.31,105.0,0.00784,active
22:05:37,105.05,131.24,105.0,0.0198,active
22:05:53,104.84,130.39,105.0,0.0442,active
22:06:09,104.84,130.38,105.0,0.126,active
22:06:24,104.55,131.40,105.0,0.263,active
22:06:40,104.52,134.10,105.0,0.421,active
22:06:56,104.47,137.95,105.0,0.567,active
22:07:12,104.42,142.59,105.0,0.671,active
22:07:29,104.52,147.60,105.0,0.761,active
22:07:45,104.42,152.34,105.0,0.859,active
22:08:00,104.60,157.10,105.0,0.915,active
22:08:16,104.71,161.70,105.0,0.979,active
22:08:32,104.84,165.85,105.0,0.395,active
22:08:48,105.00,164.46,105.0,0.883,active
22:09:04,105.13,164.03,105.0,0.685,active
22:09:20,105.29,165.03,105.0,0.207,active
22:09:36,105.32,164.58,105.0,0.738,active
22:09:52,105.53,163.97,105.0,0.489,active
22:10:08,105.58,163.05,105.0,0.408,active
22:10:24,105.71,160.75,105.0,0.197,active
22:10:40,105.74,156.25,105.0,0.0196,active
22:10:56,105.77,150.95,105.0,7.726e-4,active
22:11:12,105.77,146.18,105.0,2.899e-5,active
22:11:28,105.71,142.28,105.0,1.088e-6,active
22:11:44,105.61,139.14,105.0,4.082e-8,active
22:11:59,105.48,136.73,105.0,1.612e-9,active
22:12:15,105.40,134.56,105.0,4.062e-5,active
22:12:31,105.29,132.82,105.0,9.950e-5,active
22:12:47,105.11,131.47,105.0,0.00837,active
22:13:03,104.97,130.41,105.0,0.0227,active
22:13:19,104.95,129.77,105.0,0.0569,active
22:13:35,104.71,130.39,105.0,0.175,active
22:13:51,104.60,132.17,105.0,0.327,active
22:14:07,104.42,135.69,105.0,0.500,active
22:14:23,104.52,140.49,105.0,0.610,active
22:14:39,104.42,145.46,105.0,0.742,active
22:14:55,104.52,150.74,105.0,0.806,active
22:15:11,104.52,155.84,105.0,0.903,active
22:15:27,104.60,160.80,105.0,0.971,active
22:15:43,104.76,165.44,105.0,0.696,active
22:15:59,104.89,164.17,105.0,0.827,active
22:16:15,105.16,164.32,105.0,0.526,active
22:16:31,105.19,165.43,105.0,0.391,active
22:16:47,105.48,164.31,105.0,0.745,active
22:17:03,105.42,164.47,105.0,0.433,active
22:17:19,105.63,163.32,105.0,0.444,active
22:17:34,105.63,161.44,105.0,0.261,active
22:17:50,105.69,157.40,105.0,0.0521,active
22:18:06,105.77,151.97,105.0,0.00207,active
22:18:22,105.85,147.07,105.0,7.782e-5,active
22:18:38,105.71,143.02,105.0,3.074e-6,active
22:18:54,105.69,139.64,105.0,1.153e-7,active
22:19:10,105.53,136.96,105.0,4.556e-9,active
22:19:26,105.42,134.74,105.0,9.938e-6,active
22:19:42,105.34,132.97,105.0,2.924e-4,active
22:19:58,105.13,131.50,105.0,0.00374,active
22:20:14,105.00,130.25,105.0,0.0182,active
22:20:30,104.87,129.51,105.0,0.0482,active
22:20:46,104.74,129.69,105.0,0.152,active
22:21:02,104.58,131.25,105.0,0.335,active
22:21:17,104.52,134.27,105.0,0.442,active
22:21:33,104.42,138.41,105.0,0.595,active
22:21:49,104.37,143.12,105.0,0.732,active
22:22:05,104.52,148.42,105.0,0.798,active
22:22:21,104.39,153.57,105.0,0.902,active
22:22:37,104.58,158.73,105.0,0.976,active
22:22:53,104.66,163.54,105.0,0.997,active
22:23:09,104.97,164.67,105.0,0.336,active
22:23:25,105.03,165.47,105.0,0.506,active
22:23:41,105.13,164.48,105.0,0.860,active
22:23:57,105.34,164.03,105.0,0.629,active
22:24:13,105.48,164.89,105.0,0.679,active
22:24:29,105.56,163.72,105.0,0.479,active
22:24:45,105.61,162.01,105.0,0.313,active
22:25:01,105.71,158.42,105.0,0.108,active
22:25:17,105.77,153.18,105.0,0.00546,active
22:25:33,105.74,148.04,105.0,2.047e-4,active
22:25:48,105.71,143.78,105.0,8.086e-6,active
22:26:04,105.63,140.25,105.0,3.034e-7,active
22:26:20,105.61,137.36,105.0,1.139e-8,active
22:26:36,105.53,135.05,105.0,4.497e-10,active
22:26:52,105.32,133.13,105.0,0.00165,active
22:27:08,105.24,131.54,105.0,0.00675,active
22:27:24,105.03,130.31,105.0,0.0271,active
22:27:40,104.89,129.47,105.0,0.0327,active
22:27:56,104.76,129.40,105.0,0.206,active
22:28:12,104.68,130.99,105.0,0.265,active
22:28:28,104.52,133.74,105.0,0.447,active
22:28:44,104.42,137.75,105.0,0.546,active
22:29:00,104.42,142.23,105.0,0.646,active
22:29:16,104.39,146.87,105.0,0.743,active
22:29:31,104.47,151.59,105.0,0.838,active
22:29:47,104.55,156.28,105.0,0.907,active
22:30:03,104.66,160.74,105.0,0.970,active
22:30:19,104.81,164.99,105.0,0.993,active
22:30:35,104.89,163.97,105.0,0.780,active
22:30:51,105.05,164.81,105.0,0.362,active
22:31:07,105.26,165.24,105.0,0.604,active
22:31:23,105.42,163.97,105.0,0.711,active
22:31:39,105.42,164.86,105.0,0.634,active
22:31:55,105.48,164.44,105.0,0.446,active
22:32:11,105.77,162.13,105.0,0.216,active
22:32:27,105.74,157.45,105.0,0.0267,active
22:32:43,105.82,151.71,105.0,0.00100,active
22:32:59,105.71,146.67,105.0,3.753e-5,active
22:33:15,105.74,142.63,105.0,1.408e-6,active
22:33:31,105.69,139.32,105.0,5.284e-8,active
22:33:47,105.48,136.60,105.0,1.983e-9,active
22:34:03,105.34,134.47,105.0,7.832e-11,active
22:34:19,105.34,132.66,105.0,0.00244,active
22:34:35,105.19,131.16,105.0,0.00787,active
22:34:50,105.11,129.98,105.0,0.0177,active
22:35:06,104.95,129.10,105.0,0.0341,active
22:35:22,104.81,128.90,105.0,0.119,active
22:35:38,104.74,129.95,105.0,0.230,active
22:35:54,104.52,132.67,105.0,0.469,active
22:36:10,104.47,137.40,105.0,0.592,active
22:36:26,104.44,142.23,105.0,0.681,active
22:36:42,104.44,147.27,105.0,0.773,active
22:36:58,104.47,152.36,105.0,0.882,active
22:37:14,104.52,157.45,105.0,0.966,active
22:37:30,104.66,162.34,105.0,0.998,active
22:37:46,104.76,165.60,105.0,0.277,active
22:38:01,105.00,164.72,105.0,0.916,active
22:38:17,105.05,164.01,105.0,0.783,active
22:38:33,105.19,164.68,105.0,0.409,active
22:38:49,105.40,164.80,105.0,0.760,active
22:39:05,105.48,163.81,105.0,0.539,active
22:39:21,105.63,163.00,105.0,0.432,active
22:39:37,105.61,160.56,105.0,0.217,active
22:39:53,105.74,156.12,105.0,0.0337,active
22:40:09,105.77,150.63,105.0,0.00137,active
22:40:25,105.71,145.85,105.0,5.394e-5,active
22:40:41,105.74,141.90,105.0,2.024e-6,active
22:40:57,105.58,138.59,105.0,7.595e-8,active
22:41:13,105.45,135.99,105.0,0.00178,active
22:41:29,105.40,133.89,105.0,0.0301,active
22:41:45,105.26,132.36,105.0,0.00339,active
22:42:01,105.11,130.98,105.0,0.0186,active
22:42:17,105.00,129.94,105.0,0.0244,active
22:42:33,104.87,129.42,105.0,0.0722,active
22:42:49,104.71,130.04,105.0,0.200,active
22:43:04,104.60,132.01,105.0,0.347,active
22:43:21,104.58,135.30,105.0,0.486,active
22:43:36,104.42,139.64,105.0,0.621,active
22:43:52,104.37,144.54,105.0,0.733,active
22:44:08,104.42,149.74,105.0,0.838,active
22:44:24,104.58,154.93,105.0,0.913,active
22:44:40,104.60,159.95,105.0,0.982,active
22:44:56,104.74,164.56,105.0,0.997,active
22:45:12,104.95,163.97,105.0,0.703,active
22:45:28,105.13,165.12,105.0,0.242,active
22:45:44,105.29,165.03,105.0,0.824,active
22:46:00,105.45,163.91,105.0,0.689,active
22:46:16,105.58,164.71,105.0,0.614,active
22:46:32,105.63,164.25,105.0,0.437,active
22:46:48,105.71,161.84,105.0,0.214,active
22:47:04,105.74,157.11,105.0,0.0250,active
22:47:20,105.77,151.41,105.0,9.371e-4,active
22:47:36,105.85,146.49,105.0,3.517e-5,active
22:47:52,105.71,142.39,105.0,1.320e-6,active
22:48:08,105.61,139.13,105.0,5.212e-8,active
22:48:24,105.48,136.48,105.0,1.956e-9,active
22:48:40,105.48,134.21,105.0,5.122e-4,active
22:48:55,105.34,132.39,105.0,5.572e-4,active
22:49:11,105.16,130.86,105.0,0.0107,active
22:49:27,105.03,129.67,105.0,0.0250,active
22:49:43,104.87,128.81,105.0,0.0373,active
22:49:59,104.74,128.69,105.0,0.116,active
22:50:15,104.55,129.92,105.0,0.260,active
22:50:31,104.60,133.14,105.0,0.396,active
