time,probe,Z,status
12:22:39,0,4.97,idle
12:22:39,0,4.97,idle
12:22:39,0,4.97,idle
12:22:39,0,4.97,idle
12:22:39,0,4.97,idle
12:22:39,0,4.97,idle
12:22:39,0,4.97,idle
12:22:39,0,4.97,idle
12:22:40,0,4.97,idle
12:22:40,0,4.97,idle
12:22:40,0,4.97,idle
12:22:40,0,4.97,idle
12:22:40,0,4.97,idle
12:22:40,0,4.97,idle
12:22:40,0,4.97,idle
12:22:40,0,4.97,idle
12:22:40,0,4.97,idle
12:22:40,0,4.97,idle
12:22:41,0,4.97,idle
12:22:41,0,4.97,idle
12:22:41,0,4.97,idle
12:22:41,0,4.97,idle
12:22:41,0,4.97,idle
12:22:41,0,4.97,idle
12:22:41,0,4.97,idle
12:22:41,0,4.97,idle
12:22:42,0,4.97,idle
12:22:42,0,4.97,idle
12:22:42,0,4.97,idle
12:22:42,0,4.97,idle
12:22:42,0,4.97,idle
12:22:42,0,4.97,idle
12:22:42,0,4.97,idle
12:22:42,0,4.97,idle
12:22:42,0,4.97,idle
12:22:42,0,4.97,idle
12:22:43,0,4.97,idle
12:22:43,0,4.97,idle
12:22:43,0,4.97,idle
12:22:43,0,4.97,idle
12:22:43,0,4.97,idle
12:22:43,0,4.97,idle
12:22:43,0,4.97,idle
12:22:43,0,4.97,idle
12:22:43,0,4.97,idle
12:22:43,0,4.97,idle
12:22:44,0,4.97,idle
12:22:44,0,4.97,idle
12:22:44,0,4.97,idle
12:22:44,0,4.97,idle
12:22:44,0,4.97,idle
12:22:44,0,4.97,idle
12:22:44,0,4.97,idle
12:22:44,0,4.97,idle
12:22:45,0,4.97,idle
12:22:45,0,4.97,idle
12:22:45,0,4.97,idle
12:22:45,0,4.97,idle
12:22:45,0,4.97,idle
12:22:45,0,4.97,idle
12:22:45,0,4.97,idle
12:22:45,0,4.97,idle
12:22:45,0,4.97,idle
12:22:45,0,4.97,idle
12:22:46,0,4.97,idle
12:22:46,0,4.97,idle
12:22:46,0,4.97,idle
12:22:46,0,4.97,idle
12:22:46,0,4.97,idle
12:22:46,0,4.97,idle
12:22:46,0,4.97,idle
12:22:46,0,4.97,idle
12:22:46,0,4.97,idle
12:22:46,0,4.97,idle
12:22:47,0,4.97,idle
12:22:47,0,4.97,idle
12:22:47,0,4.97,idle
12:22:47,0,4.97,idle
12:22:47,0,4.97,idle
12:22:47,0,4.97,idle
12:22:47,0,4.97,idle
12:22:47,0,4.97,idle
12:22:47,0,4.97,idle
12:22:47,0,4.97,idle
12:22:48,0,4.97,idle
12:22:48,0,4.97,idle
12:22:48,0,4.97,idle
12:22:48,0,4.97,idle
12:22:48,0,4.97,idle
12:22:48,0,4.97,idle
12:22:48,0,4.97,idle
12:22:48,0,4.97,idle
12:22:49,0,4.97,idle
12:22:49,0,4.97,idle
12:22:49,0,4.97,idle
12:22:49,0,4.97,idle
12:22:49,0,4.97,idle
12:22:49,0,4.97,idle
12:22:49,0,4.97,idle
12:22:49,0,4.97,idle
12:22:49,0,4.97,idle
12:22:49,0,4.97,idle
12:22:50,0,4.97,idle
12:22:50,0,4.97,idle
12:22:50,0,4.97,idle
12:22:50,0,4.97,idle
12:22:50,0,4.97,idle
12:22:50,0,4.97,idle
12:22:50,0,4.97,idle
12:22:50,0,4.97,idle
12:22:50,0,4.97,idle
12:22:50,0,4.97,idle
12:22:51,0,4.97,idle
12:22:51,0,4.97,idle
