12:47:54.942 >> td
12:47:54.992 trigger debug on
12:47:55.295 >> v
12:47:55.555 a=2241103,b=2239566
12:47:55.555 a=2243635,b=2241103
12:47:55.555 a=2243348,b=2243348
12:47:55.555 a=2244280,b=2243635
12:47:55.555 a=2238653,b=2243348
12:47:55.555 a=2235767,b=2238653
12:47:55.555 a=2238649,b=2238649
12:47:55.555 a=2239048,b=2238649
12:47:55.555 a=2237500,b=2238649
12:47:55.555 a=2238041,b=2238041
12:47:55.555 a=2241625,b=2238041
12:47:55.555 a=2243070,b=2241625
12:47:55.555 a=2242831,b=2242831
12:47:55.555 a=2242409,b=2242831
12:47:55.555 a=2238245,b=2242409
12:47:55.555 a=2236140,b=2238245
12:47:55.555 a=2238067,b=2238067
12:47:55.555 a=2238898,b=2238067
12:47:55.555 a=2238240,b=2238240
12:47:55.555 a=2240581,b=2238898
12:47:55.555 a=2245856,b=2240581
12:47:55.555 a=2243894,b=2243894
12:47:55.555 a=2240295,b=2243894
12:47:55.555 a=2237330,b=2240295
12:47:55.555 a=2241241,b=2240295
12:47:55.556 a=2239179,b=2239179
12:47:55.556 a=2235369,b=2239179
12:47:55.556 a=2234785,b=2235369
12:47:55.556 a=2234696,b=2234785
12:47:55.556 a=2238295,b=2234785
12:47:55.556 a=2242724,b=2238295
12:47:55.556 a=2242402,b=2242402
12:47:55.606 a=2239733,b=2242402
12:47:55.606 a=2233024,b=2239733
12:47:55.606 a=2234558,b=2234558
12:47:55.606 a=2235027,b=2234558
12:47:55.606 a=2237660,b=2235027
12:47:55.606 a=2241193,b=2237660
12:47:55.606 a=2238912,b=2238912
12:47:55.606 a=2240623,b=2240623
12:47:55.606 a=2240049,b=2240049
12:47:55.606 a=2237952,b=2240049
12:47:55.606 a=2238653,b=2238653
12:47:55.606 a=2238482,b=2238482
12:47:55.606 a=2236274,b=2238482
12:47:55.606 a=2237099,b=2237099
12:47:55.606 a=2238188,b=2237099
12:47:55.607 a=2239301,b=2238188
12:47:55.607 a=2237058,b=2238188
12:47:55.607 a=2241351,b=2239301
12:47:55.607 a=2241589,b=2241351
12:47:55.607 a=2241151,b=2241351
12:47:55.607 a=2245099,b=2241589
12:47:55.607 a=2243812,b=2243812
12:47:55.607 a=2241979,b=2243812
12:47:55.607 a=2239191,b=2241979
12:47:55.607 a=2237165,b=2239191
12:47:55.607 a=2241885,b=2239191
12:47:55.608 a=2241151,b=2241151
