Sample,Timestamp,Current Error
923,4615.05,0.04
924,4620.12,-0.06
925,4625.07,-0.01
926,4630.09,0.04
927,4635.06,-0.02
928,4640.08,-0.06
929,4645.06,0.04
930,4650.12,0.05
931,4655.04,-0.07
932,4660.11,0.01
933,4665.04,0.09
934,4670.09,-0.05
935,4675.06,0.01
936,4680.07,0.05
937,4685.12,-0.04
938,4690.07,0.00
939,4695.05,0.11
940,4700.11,-0.04
941,4705.07,-0.05
942,4710.10,0.01
943,4715.05,0.02
944,4720.07,-0.05
945,4725.04,0.05
946,4730.08,0.07
947,4735.05,-0.07
948,4740.09,-0.01
949,4745.07,0.05
950,4750.06,0.00
951,4755.08,-0.02
952,4760.11,0.07
953,4765.07,0.01
954,4770.04,-0.01
955,4775.06,0.02
956,4780.05,0.11
957,4785.08,-0.01
958,4790.08,-0.01
959,4795.06,0.06
960,4800.07,0.00
961,4805.12,-0.04
962,4810.07,0.04
963,4815.04,-0.01
964,4820.06,-0.05
965,4825.11,-0.01
966,4830.06,-0.04
967,4835.10,-0.05
968,4840.05,-0.04
969,4845.06,-0.06
970,4850.04,0.02
971,4855.07,-0.02
972,4860.07,-0.06
973,4865.04,0.01
974,4870.06,-0.01
975,4875.12,-0.01
976,4880.10,0.04
977,4885.07,0.00
978,4890.12,-0.02
979,4895.07,0.01
980,4900.05,-0.01
981,4905.11,0.00
982,4910.07,-0.02
983,4915.07,0.01
984,4920.12,0.01
985,4925.07,-0.01
986,4930.05,0.02
987,4935.06,0.00
988,4940.11,-0.05
989,4945.08,0.02
990,4950.06,0.05
991,4955.04,-0.06
992,4960.10,0.02
993,4965.07,0.04
994,4970.09,0.01
995,4975.06,0.02
996,4980.11,0.05
997,4985.07,0.04
998,4990.13,-0.07
999,4995.12,0.04
1000,5000.07,0.05
1001,5005.12,-0.06
1002,5010.11,0.05
1003,5015.07,0.05
1004,5020.13,-0.05
1005,5025.08,0.01
1006,5030.07,0.06
1007,5035.12,-0.02
1008,5040.11,-0.04
1009,5045.04,0.06
1010,5050.12,0.04
1011,5055.04,-0.02
1012,5060.11,0.01
1013,5065.09,0.04
1014,5070.06,0.00
1015,5075.07,0.02
1016,5080.12,0.07
1017,5085.08,0.02
1018,5090.07,0.01
1019,5095.09,0.07
1020,5100.05,0.02
1021,5105.08,-0.01
1022,5110.07,0.02
1023,5115.11,0.09
1024,5120.05,-0.05
1025,5125.07,0.02
1026,5130.06,0.11
1027,5135.13,0.00
1028,5140.08,-0.02
1029,5145.06,0.04
1030,5150.13,0.02
1031,5155.06,0.04
1032,5160.04,0.04
1033,5165.11,0.05
1034,5170.08,0.02
1035,5175.07,0.01
1036,5180.11,0.05
1037,5185.11,-0.05
1038,5190.08,-0.04
1039,5195.07,0.04
1040,5200.06,-0.02
1041,5205.12,0.00
1042,5210.07,0.05
1043,5215.05,-0.01
1044,5220.06,-0.05
1045,5225.10,-0.02
1046,5230.05,-0.01
1047,5235.11,-0.04
1048,5240.07,0.01
1049,5245.06,-0.02
1050,5250.07,0.01
1051,5255.04,-0.05
1052,5260.10,-0.05
1053,5265.12,0.01
1054,5270.07,-0.07
1055,5275.10,0.00
1056,5280.07,-0.02
1057,5285.07,-0.05
1058,5290.11,-0.01
1059,5295.07,-0.04
1060,5300.09,-0.02
1061,5305.12,-0.06
1062,5310.10,-0.07
1063,5315.13,0.00
1064,5320.11,0.01
1065,5325.07,-0.07
1066,5330.10,-0.02
1067,5335.05,-0.02
1068,5340.07,-0.07
1069,5345.04,-0.01
1070,5350.07,-0.02
1071,5355.05,-0.02
