Sample,Timestamp,Current Error,PID Control Signal,Phase Shift
762,381.07,0.00,43.1,0
763,381.57,-0.01,40.0,0
764,382.09,0.00,44.8,0
765,382.60,0.00,42.9,0
766,383.12,0.02,43.8,0
767,383.55,0.04,45.9,0
768,384.06,0.02,42.0,0
769,384.58,0.02,43.8,0
770,385.10,-0.02,36.0,0
771,385.62,-0.01,41.6,0
772,386.05,0.00,41.1,0
773,386.57,0.04,45.7,0
774,387.08,0.01,44.1,0
775,387.60,0.04,44.0,0
776,388.11,0.02,39.3,0
777,388.55,0.06,45.8,0
778,389.05,0.00,37.6,0
779,389.57,0.02,44.6,0
780,390.09,0.05,40.2,0
781,390.61,0.02,38.5,0
782,391.04,0.04,43.2,0
783,391.57,0.07,50.4,0
784,392.07,0.04,39.9,0
785,392.59,0.02,42.0,0
786,393.11,0.01,40.8,0
787,393.54,0.02,41.3,0
788,394.05,0.09,50.2,0
789,394.57,0.04,40.0,0
790,395.09,-0.02,32.8,0
791,395.62,0.00,38.7,0
792,396.04,0.05,47.3,0
793,396.56,0.00,41.4,0
794,397.08,0.02,45.7,0
795,397.60,0.00,43.1,0
796,398.11,-0.01,40.2,0
797,398.54,0.00,42.2,0
798,399.05,-0.02,39.1,0
799,399.56,0.00,43.2,0
800,400.06,-0.02,39.0,0
801,400.57,-0.02,41.5,0
802,401.08,0.00,42.4,0
803,401.59,-0.01,38.6,0
804,402.11,0.01,41.8,0
805,402.62,0.01,47.0,0
806,403.06,-0.05,34.7,0
807,403.58,-0.01,41.0,0
808,404.09,0.00,43.2,0
809,404.61,-0.02,36.3,0
810,405.04,0.01,46.1,0
811,405.56,-0.01,41.8,0
812,406.06,-0.05,37.1,0
813,406.58,0.01,45.2,0
814,407.09,-0.01,40.2,0
815,407.61,-0.07,30.3,0
816,408.04,0.01,47.0,0
817,408.56,-0.04,39.4,0
818,409.08,-0.02,44.0,0
819,409.60,-0.04,41.8,0
820,410.11,0.01,45.2,0
821,410.55,-0.04,42.7,0
822,411.05,-0.05,40.5,0
823,411.57,-0.02,38.8,0
824,412.08,-0.01,41.8,0
825,412.59,-0.02,42.3,0
826,413.12,0.02,43.8,0
827,413.55,0.04,46.6,0
828,414.06,-0.01,42.5,0
829,414.57,-0.01,41.6,0
830,415.09,0.02,46.2,0
831,415.61,0.00,41.1,0
832,416.12,0.01,45.1,0
833,416.55,-0.05,34.4,0
834,417.06,0.00,45.6,0
835,417.58,-0.05,36.1,0
836,418.09,0.00,40.3,0
837,418.61,-0.04,40.0,0
838,419.04,-0.06,38.3,0
839,419.56,-0.04,38.2,0
840,420.07,0.00,38.5,0
