Sample,Timestamp,Raw Encoder Reading,Target Motor Steps,Current Error,PID I Term,Phase Shift
373,373.06,-50217,-612.99,0.01,-15.2,0
374,374.11,-50235,-613.25,-0.04,-15.1,0
375,375.09,-50259,-613.50,0.01,-15.1,0
376,376.07,-50277,-613.74,-0.01,-15.1,0
377,377.04,-50293,-613.99,-0.06,-15.2,0
378,378.10,-50316,-614.25,-0.04,-15.2,0
379,379.07,-50340,-614.49,0.01,-15.2,0
380,380.05,-50358,-614.74,-0.01,-15.2,0
381,381.11,-50385,-615.00,0.05,-15.1,0
382,382.09,-50404,-615.25,0.04,-15.1,0
383,383.07,-50422,-615.49,0.01,-15.1,0
384,384.05,-50442,-615.74,0.01,-15.0,0
385,385.04,-50461,-615.99,-0.01,-15.0,0
386,386.09,-50483,-616.25,0.00,-15.0,0
387,387.07,-50502,-616.49,-0.01,-15.0,0
388,388.05,-50524,-616.74,0.01,-15.0,0
389,389.10,-50544,-617.00,-0.01,-15.0,0
390,390.08,-50566,-617.25,0.01,-15.0,0
391,391.07,-50581,-617.49,-0.05,-15.0,0
392,392.11,-50602,-617.75,-0.05,-15.1,0
393,393.08,-50622,-618.00,-0.05,-15.1,0
394,394.07,-50643,-618.24,-0.04,-15.1,0
395,395.05,-50663,-618.49,-0.05,-15.2,0
396,396.12,-50689,-618.75,0.01,-15.2,0
397,397.10,-50709,-619.00,0.01,-15.2,0
398,398.07,-50730,-619.24,0.02,-15.2,0
399,399.06,-50747,-619.49,-0.02,-15.2,0
400,400.04,-50768,-619.74,-0.01,-15.1,0
401,401.10,-50792,-620.00,0.01,-15.1,0
402,402.08,-50813,-620.25,0.04,-15.1,0
403,403.06,-50832,-620.49,0.01,-15.1,0
404,404.11,-50852,-620.75,0.00,-15.1,0
405,405.09,-50874,-621.00,0.02,-15.1,0
406,406.05,-50891,-621.24,-0.01,-15.1,0
407,407.11,-50913,-621.50,-0.01,-15.1,0
408,408.09,-50928,-621.75,-0.07,-15.1,0
409,409.07,-50949,-621.99,-0.06,-15.2,0
410,410.05,-50970,-622.24,-0.05,-15.2,0
411,411.10,-50990,-622.50,-0.06,-15.3,0
412,412.08,-51014,-622.75,-0.01,-15.3,0
413,413.05,-51037,-622.99,0.02,-15.3,0
414,414.04,-51055,-623.24,0.00,-15.3,0
415,415.10,-51078,-623.50,0.01,-15.2,0
416,416.08,-51096,-623.75,-0.01,-15.2,0
417,417.06,-51119,-623.99,0.02,-15.2,0
418,418.05,-51138,-624.24,0.00,-15.2,0
419,419.10,-51161,-624.50,0.02,-15.2,0
420,420.07,-51178,-624.74,-0.01,-15.2,0
421,421.06,-51203,-624.99,0.05,-15.2,0
422,422.04,-51222,-625.24,0.04,-15.2,0
423,423.10,-51240,-625.50,-0.01,-15.2,0
424,424.08,-51258,-625.75,-0.04,-15.2,0
425,425.06,-51281,-625.99,0.00,-15.2,0
426,426.05,-51300,-626.24,-0.02,-15.3,0
427,427.11,-51321,-626.50,-0.02,-15.3,0
428,428.08,-51341,-626.75,-0.02,-15.3,0
429,429.06,-51364,-626.99,0.01,-15.3,0
430,430.12,-51384,-627.25,-0.01,-15.3,0
431,431.09,-51404,-627.50,-0.01,-15.3,0
432,432.06,-51424,-627.74,-0.01,-15.3,0
433,433.05,-51445,-627.99,0.00,-15.3,0
434,434.09,-51467,-628.25,0.01,-15.3,0
435,435.07,-51486,-628.49,0.00,-15.3,0
436,436.04,-51506,-628.74,0.00,-15.3,0
437,437.10,-51528,-629.00,0.00,-15.3,0
438,438.08,-51548,-629.25,0.00,-15.3,0
439,439.06,-51563,-629.49,-0.06,-15.3,0
440,440.12,-51587,-629.75,-0.04,-15.3,0
441,441.10,-51608,-630.00,-0.02,-15.3,0
442,442.08,-51626,-630.25,-0.05,-15.3,0
443,443.06,-51649,-630.49,-0.01,-15.4,0
444,444.04,-51667,-630.74,-0.04,-15.4,0
445,445.09,-51696,-631.00,0.06,-15.4,0
446,446.07,-51715,-631.24,0.05,-15.4,0
447,447.05,-51731,-631.49,-0.01,-15.4,0
448,448.04,-51750,-631.74,-0.02,-15.4,0
449,449.09,-51774,-632.00,0.01,-15.4,0
450,450.07,-51794,-632.24,0.01,-15.4,0
451,451.06,-51816,-632.49,0.02,-15.4,0
452,452.11,-51838,-632.75,0.04,-15.3,0
453,453.09,-51860,-633.00,0.06,-15.3,0
454,454.06,-51878,-633.24,0.04,-15.3,0
455,455.05,-51895,-633.49,0.00,-15.2,0
456,456.08,-51914,-633.75,-0.02,-15.3,0
457,457.06,-51934,-633.99,-0.02,-15.3,0
458,458.11,-51956,-634.25,-0.02,-15.3,0
459,459.09,-51981,-634.50,0.04,-15.4,0
460,460.08,-51995,-634.75,-0.04,-15.4,0
461,461.05,-52017,-634.99,-0.01,-15.4,0
462,462.10,-52040,-635.25,0.00,-15.4,0
463,463.06,-52058,-635.49,-0.01,-15.4,0
464,464.04,-52081,-635.74,0.02,-15.4,0
465,465.10,-52101,-636.00,0.00,-15.4,0
466,466.07,-52122,-636.24,0.01,-15.4,0
467,467.05,-52141,-636.49,0.00,-15.4,0
468,468.10,-52166,-636.75,0.04,-15.3,0
469,469.09,-52189,-637.00,0.07,-15.3,0
470,470.07,-52207,-637.24,0.05,-15.2,0
471,471.05,-52223,-637.49,0.00,-15.2,0
472,472.10,-52241,-637.75,-0.05,-15.2,0
473,473.09,-52262,-638.00,-0.04,-15.3,0
474,474.06,-52278,-638.24,-0.09,-15.3,0
475,475.10,-52304,-638.50,-0.02,-15.3,0
476,476.07,-52325,-638.74,-0.01,-15.4,0
477,477.05,-52346,-638.99,0.00,-15.4,0
478,478.09,-52368,-639.25,0.01,-15.4,0
479,479.08,-52390,-639.49,0.04,-15.4,0
480,480.05,-52411,-639.74,0.05,-15.4,0
481,481.11,-52428,-640.00,-0.01,-15.4,0
482,482.09,-52452,-640.25,0.04,-15.4,0
483,483.07,-52471,-640.49,0.02,-15.3,0
484,484.05,-52495,-640.74,0.07,-15.3,0
485,485.10,-52514,-641.00,0.04,-15.2,0
486,486.08,-52533,-641.24,0.02,-15.2,0
487,487.05,-52550,-641.49,-0.01,-15.2,0
488,488.11,-52571,-641.75,-0.01,-15.2,0
489,489.08,-52591,-642.00,-0.01,-15.2,0
490,490.06,-52608,-642.24,-0.05,-15.3,0
491,491.04,-52628,-642.49,-0.05,-15.3,0
492,492.10,-52652,-642.75,-0.02,-15.3,0
493,493.08,-52674,-643.00,0.00,-15.4,0
494,494.07,-52693,-643.24,-0.01,-15.4,0
495,495.05,-52713,-643.49,-0.01,-15.4,0
496,496.10,-52736,-643.75,0.00,-15.4,0
497,497.08,-52758,-644.00,0.02,-15.4,0
498,498.06,-52778,-644.24,0.02,-15.4,0
499,499.04,-52801,-644.49,0.06,-15.3,0
500,500.10,-52824,-644.75,0.07,-15.3,0
501,501.06,-52844,-644.99,0.07,-15.2,0
502,502.06,-52863,-645.24,0.06,-15.2,0
503,503.11,-52881,-645.50,0.01,-15.2,0
504,504.09,-52896,-645.75,-0.05,-15.2,0
505,505.07,-52917,-645.99,-0.04,-15.2,0
506,506.05,-52938,-646.24,-0.02,-15.3,0
507,507.11,-52960,-646.50,-0.02,-15.3,0
508,508.09,-52980,-646.75,-0.02,-15.3,0
509,509.07,-53001,-646.99,-0.01,-15.3,0
510,510.05,-53020,-647.24,-0.02,-15.4,0
511,511.11,-53042,-647.50,-0.01,-15.4,0
512,512.08,-53060,-647.75,-0.04,-15.4,0
513,513.07,-53083,-647.99,-0.01,-15.4,0
514,514.04,-53106,-648.24,0.04,-15.4,0
515,515.09,-53129,-648.50,0.05,-15.4,0
